ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
ST LK-401W+LK-100,Шифра: 47688,899 Ден.,829 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/st-lk-401w-lk-10047688,https://setec.mk/image/cache/catalog/Product/47688_0-228x228.jpg
Meetion C4130 Wireless Combo Black Keyboard + Mouse,Шифра: 16381,899 Ден.,879 Ден.,-2%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-c4130-wireless-combo-black-keyboard-mouse16381,https://setec.mk/image/cache/catalog/Product/16381_0-228x228.jpg
966189-0914 Logitech OEM UltraXTM Media Remote,Шифра: 37125,999 Ден.,889 Ден.,-11%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/966189-0914-logitech-oem-ultraxtm-media-remote37125,https://setec.mk/image/cache/catalog/Product/37125_0-228x228.jpg
Delux DLK-K9600+M700A Wired GAMING Keyboard,Шифра: 49669,"1,099 Ден.",899 Ден.,-18%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/delux-dlk-k9600-m700a-wired-gaming-keyboard-49669,https://setec.mk/image/cache/catalog/Product/49669_0-228x228.jpg
Gembird Keyboard & Mouse & Mousepad 3-in-1 backlight desktop set,Шифра: 58821,999 Ден.,919 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58821,https://setec.mk/image/cache/catalog/Product/58821_0-228x228.jpg
Genius Gaming Keyboard Scorpion K8,Шифра: 14705,"1,199 Ден.",919 Ден.,-23%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-gaming-keyboard-scorpion-k814705,https://setec.mk/image/cache/catalog/Product/14705_0-228x228.jpg
Meetion BTK001 Black Bluetooth 5.1 Scissor Keyboard,Шифра: 16374,999 Ден.,919 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-btk001-black-bluetooth-51-scissor-keyboard16374,https://setec.mk/image/cache/catalog/Product/16374_0-228x228.jpg
Modecom 5200U MULTIMEDIA KEYBOARD US LAYOUT scissor-type mechanism,Шифра: 56113,"1,099 Ден.",949 Ден.,-14%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/modecom-5200u-multimedia-keyboard-us-layout-scissor-type-mechanism56113,https://setec.mk/image/cache/catalog/Product/56113_0-228x228.jpg
Meetion K9520 GAMING Keyboard Black,Шифра: 17445,"1,099 Ден.",989 Ден.,-10%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-k9520-gaming-keyboard-black17445,https://setec.mk/image/cache/catalog/Product/17445_0-228x228.jpg
Genius Gaming Keyboard Scorpion K220,Шифра: 14693,,,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-gaming-keyboard-scorpion-k22014693,https://setec.mk/image/cache/catalog/Product/14693_0-228x228.jpg
Meetion MK600MX Mechanical GAMING Keyboard Black,Шифра: 17439,"1,799 Ден.",999 Ден.,-44%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-mk600mx-gaming-keyboard-black17439,https://setec.mk/image/cache/catalog/Product/17439_0-228x228.jpg
Delux DLK-5109U Multimedia Finger identify KB,Шифра: 37428,"1,099 Ден.","1,019 Ден.",-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/delux-dlk-5109u-multimedia-finger-identify-kb37428,https://setec.mk/image/cache/catalog/Product/37428_0-228x228.jpg
Genius KB-8005,Шифра: 38323,"1,099 Ден.","1,019 Ден.",-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-kb-800538323,https://setec.mk/image/cache/catalog/Product/38323_0-228x228.jpg
Genius SlimStar 8008 Wireless black combo (Keyboard Slimstar + Mouse optical 1000dpi black),Шифра: 45869,"1,099 Ден.","1,029 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-slimstar-8008-wireless-black-combo-keyboard-slimstar-mouse-optical-1000dpi-black45869,https://setec.mk/image/cache/catalog/Product/45869_0-228x228.jpg
Meetion iKey K210 Black Keyboard  Wireless& Bluetooth,Шифра: 17629,"1,199 Ден.","1,039 Ден.",-13%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=17629,https://setec.mk/image/cache/catalog/Product/17629_0-228x228.jpg
Meetion iKey K210 White Keyboard  Wireless& Bluetooth,Шифра: 17630,"1,199 Ден.","1,039 Ден.",-13%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=17630,https://setec.mk/image/cache/catalog/Product/17630_0-228x228.jpg
HyperX FPS & MOBA Gaming Keycaps Upgrade Kit (Red),Шифра: 47930,"1,349 Ден.","1,059 Ден.",-21%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/hyperx-fps-moba-gaming-keycaps-upgrade-kit-red47930,https://setec.mk/image/cache/catalog/Product/47930_0-228x228.jpg
Modecom Wireless set MC-7200,Шифра: 44608,"1,149 Ден.","1,079 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/modecom-wireless-set-mc-720044608,https://setec.mk/image/cache/catalog/Product/44608_0-228x228.jpg
Genius Smart KM-8100  Wireless black combo (Keyboard Slimstar + Mouse optical 1000dpi black),Шифра: 49565,,,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-smart-km-8100-wireless-black-combo-keyboard-slimstar-mouse-optical-1000dpi-black49565,https://setec.mk/image/cache/catalog/Product/49565_0-228x228.jpg
Gembird Ultimate 4-in-1 Gaming kit Keyboard & Mouse & Mousepad & Headphones,Шифра: 58834,"1,199 Ден.","1,169 Ден.",-3%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58834,https://setec.mk/image/cache/catalog/Product/58834_0-228x228.jpg
Genius Gaming Keyboard Scorpion K9,Шифра: 14669,"1,299 Ден.","1,169 Ден.",-10%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-gaming-keyboard-scorpion-k914669,https://setec.mk/image/cache/catalog/Product/14669_0-228x228.jpg
Genius Smart KM-8101  Wireless black combo (Keyboard Slimstar + Mouse optical 1000dpi black),Шифра: 54501,,,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-smart-km-8101-wireless-black-combo-keyboard-slimstar-mouse-optical-1000dpi-black54501,https://setec.mk/image/cache/catalog/Product/54501_0-228x228.jpg
HyperX FPS & MOBA Gaming Keycaps Upgrade Kit (Titanium),Шифра: 47931,"1,349 Ден.","1,269 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/hyperx-fps-moba-gaming-keycaps-upgrade-kit-titanium47931,https://setec.mk/image/cache/catalog/Product/47931_0-228x228.jpg
Modecom Wireless set MC-5200C,Шифра: 54903,"1,699 Ден.","1,419 Ден.",-16%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/modecom-wireless-set-mc-5200c54903,https://setec.mk/image/cache/catalog/Product/54903_0-228x228.jpg
XIAOMI Wireless Keyboard and Mouse Combo,Шифра: 16078,"1,599 Ден.","1,419 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/xiaomi-wireless-keyboard-and-mouse-combo,https://setec.mk/image/cache/catalog/Product/16078_0-228x228.jpg
"Gembird Keyboard & Mouse & Mousepad & Headphones 4-in-1 backlight gaming kit ""Ghost""",Шифра: 58832,"1,499 Ден.","1,469 Ден.",-2%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58832,https://setec.mk/image/cache/catalog/Product/58832_0-228x228.jpg
Meetion iKey C210 Black 2 in 1 combo Bluetooth / Wireless Mouse & Keyboard,Шифра: 17627,"1,699 Ден.","1,519 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=17627,https://setec.mk/image/cache/catalog/Product/17627_0-228x228.jpg
Meetion iKey C210 White 2 in 1 combo Bluetooth / Wireless Mouse & Keyboard,Шифра: 17628,"1,699 Ден.","1,519 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=17628,https://setec.mk/image/cache/catalog/Product/17628_0-228x228.jpg
"Gembird Keyboard & Mouse & Mousepad & Headphones 4-in-1 backlight gaming kit ""Phantom""",Шифра: 58833,"1,599 Ден.","1,559 Ден.",-3%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58833,https://setec.mk/image/cache/catalog/Product/58833_0-228x228.jpg
MODECOM Wireless Keyboard MC-TPK1,Шифра: 50820,"1,799 Ден.","1,579 Ден.",-12%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/modecom-wireless-keyboard-mc-tpk150820,https://setec.mk/image/cache/catalog/Product/50820_0-228x228.jpg
Genius Gaming Keyboard Scorpion K20,Шифра: 14762,,,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-gaming-keyboard-scorpion-k2014762,https://setec.mk/image/cache/catalog/Product/14762_0-228x228.jpg
Logitech MK270 Wireless Keyboard + Mouse set,Шифра: 15193,"1,699 Ден.","1,639 Ден.",-4%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/logitech-mk270-wireless-keyboard-mouse-set15193,https://setec.mk/image/cache/catalog/Product/15193_0-228x228.jpg
Logitech K380 Mult-Device Bluetooth Keyboard Black,Шифра: 15256,"1,799 Ден.","1,739 Ден.",-3%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/logitech-k380-mult-device-bluetooth-keyboard-black15256,https://setec.mk/image/cache/catalog/Product/15256_0-228x228.jpg
CoolerMaster Devastator 3 RGB Combo Keyboard and Mouse,Шифра: 45726,"2,099 Ден.","1,759 Ден.",-16%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/coolermaster-devastator-3-rgb-combo-keyboard-and-mouse45726,https://setec.mk/image/cache/catalog/Product/45726_0-228x228.jpg
ASUS W5000 KEYBOARD+MOUSE / BK / UI,Шифра: 60699,"1,899 Ден.","1,779 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/asus-w5000-keyboard-mouse-bk-ui60699,https://setec.mk/image/cache/catalog/Product/60699_0-228x228.jpg
Meetion MK005 Mechanical GAMING Keyboard Black,Шифра: 17443,"1,999 Ден.","1,779 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-mk005-gaming-keyboard-black17443,https://setec.mk/image/cache/catalog/Product/17443_0-228x228.jpg
Modecom Wireless Office MC-TPK2 for Living Room or Office,Шифра: 45912,"2,149 Ден.","1,789 Ден.",-17%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/modecom-wireless-office-mc-tpk2-for-living-room-or-office45912,https://setec.mk/image/cache/catalog/Product/45912_0-228x228.jpg
CoolerMaster Devastator 3 Plus RGB Combo Next Gen Keyboard and Mouse,Шифра: 51640,"2,399 Ден.","1,859 Ден.",-23%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/coolermaster-devastator-3-plus-rgb-combo-next-gen-keyboard-and-mouse51640,https://setec.mk/image/cache/catalog/Product/51640_0-228x228.jpg
Meetion MK600RD Mechanical GAMING Keyboard White,Шифра: 17440,"2,099 Ден.","1,929 Ден.",-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-mk600rd-gaming-keyboard-white17440,https://setec.mk/image/cache/catalog/Product/17440_0-228x228.jpg
Meetion MK007 PRO Mechanical GAMING Keyboard Black,Шифра: 17442,"2,199 Ден.","1,949 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-mk007-pro-gaming-keyboard-black17442,https://setec.mk/image/cache/catalog/Product/17442_0-228x228.jpg
ASUS TUF Gaming K1 RA04,Шифра: 50238,"3,499 Ден.","2,149 Ден.",-39%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/asus-tuf-gaming-k1-ra0450238,https://setec.mk/image/cache/catalog/Product/50238_0-228x228.jpg
Meetion Director A Black Ergonomic Combo wireless Bluetooth + 2.4G wireless Keyboard,Шифра: 16380,"2,199 Ден.","2,149 Ден.",-2%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-director-a-black-ergonomic-combo-wireless-bluetooth-24g-wireless-keyboard-16380,https://setec.mk/image/cache/catalog/Product/16380_0-228x228.jpg
